"MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","NoGarage","NoBsmt","LotFrontageMissing","Artery","Feedr","Norm","PosA","PosN","RRAe","RRAn","RRNe","RRNn","SecondFlr","Remodeled","BrandNew","HighSeason","BedSize","RoomSize"
"60","RL",65,8450,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,3,3,"PConc",4,4,2,7,706,2,0,150,856,"GasA",5,"Y",5,856,854,0,1710,1,0,2,1,3,1,3,8,1,0,1,"Attchd",2003,3,2,548,4,4,"Y",0,61,0,0,0,0,1,3,"None",0,2,2008,"WD","Normal",12.247694320221,0,0,0,"0","0","1","0","0","0","0","0","0","1","0","0","0",570,213.75
"20","RL",80,9600,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","Veenker","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",4,4,5,6,978,2,0,284,1262,"GasA",5,"Y",5,1262,0,0,1262,0,1,2,0,3,1,2,6,1,1,4,"Attchd",1976,3,2,460,4,4,"Y",298,0,0,0,0,0,1,3,"None",0,5,2007,"WD","Normal",12.109010932687,0,0,0,"0","1","1","0","0","0","0","0","0","0","0","0","1",420.666666666667,210.333333333333
"60","RL",68,11250,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,3,3,"PConc",4,4,3,7,486,2,0,434,920,"GasA",5,"Y",5,920,866,0,1786,1,0,2,1,3,1,3,6,1,1,4,"Attchd",2001,3,2,608,4,4,"Y",0,42,0,0,0,0,1,3,"None",0,9,2008,"WD","Normal",12.3171666930358,0,0,0,"0","0","1","0","0","0","0","0","0","1","1","0","0",595.333333333333,297.666666666667
"70","RL",60,9550,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,2,3,"BrkTil",3,5,2,6,216,2,0,540,756,"GasA",4,"Y",5,961,756,0,1717,1,0,1,0,3,1,3,7,1,1,5,"Detchd",1998,2,3,642,4,4,"Y",0,35,272,0,0,0,1,3,"None",0,2,2006,"WD","Abnorml",11.8493977015914,0,0,0,"0","0","1","0","0","0","0","0","0","1","1","0","0",572.333333333333,245.285714285714
"60","RL",84,14260,"Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,3,3,"PConc",4,4,4,7,655,2,0,490,1145,"GasA",5,"Y",5,1145,1053,0,2198,1,0,2,1,4,1,3,9,1,1,4,"Attchd",2000,3,3,836,4,4,"Y",192,84,0,0,0,0,1,3,"None",0,12,2008,"WD","Normal",12.4292161968444,0,0,0,"0","0","1","0","0","0","0","0","0","1","0","0","0",549.5,244.222222222222
"50","RL",85,14115,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"Wood",4,4,2,7,732,2,0,64,796,"GasA",5,"Y",5,796,566,0,1362,1,0,1,1,1,1,2,5,1,0,1,"Attchd",1993,2,2,480,4,4,"Y",40,30,0,320,0,0,1,4,"Shed",700,10,2009,"WD","Normal",11.870599909242,0,0,0,"0","0","1","0","0","0","0","0","0","1","1","0","0",1362,272.4
"20","RL",75,10084,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,3,3,"PConc",5,4,4,7,1369,2,0,317,1686,"GasA",5,"Y",5,1694,0,0,1694,1,0,2,0,3,1,3,7,1,1,5,"Attchd",2004,3,2,636,4,4,"Y",255,57,0,0,0,0,1,3,"None",0,8,2007,"WD","Normal",12.6346030265693,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","0",564.666666666667,242
"60","RL",0,10382,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,2,3,"CBlock",4,4,3,6,859,5,32,216,1107,"GasA",5,"Y",5,1107,983,0,2090,1,0,2,1,3,1,2,7,1,2,4,"Attchd",1973,3,2,484,4,4,"Y",235,204,228,0,0,0,1,3,"Shed",350,11,2009,"WD","Normal",12.2060726455302,0,0,1,"0","0","1","0","1","0","0","0","0","1","0","0","0",696.666666666667,298.571428571429
"50","RM",51,6120,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,2,3,"BrkTil",3,4,2,2,0,2,0,952,952,"GasA",4,"Y",3,1022,752,0,1774,0,0,2,0,2,2,2,8,4,2,4,"Detchd",1931,2,2,468,3,4,"Y",90,0,205,0,0,0,1,3,"None",0,4,2008,"WD","Abnorml",11.7745202026587,0,0,0,"1","0","1","0","0","0","0","0","0","1","1","0","0",887,221.75
"190","RL",50,7420,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",3,4,2,7,851,2,0,140,991,"GasA",5,"Y",5,1077,0,0,1077,1,0,1,0,2,2,2,5,1,2,4,"Attchd",1939,3,1,205,5,4,"Y",0,4,0,0,0,0,1,3,"None",0,1,2008,"WD","Normal",11.6784399034478,0,0,0,"1","0","0","0","0","0","0","0","0","0","1","0","0",538.5,215.4
