"Id","SalePrice"
1461,113750
1462,159050
1463,169150
1464,191800
1465,192050
1466,177450
1467,177400
1468,172900
1469,193900
1470,121650
1471,183950
1472,103050
1473,95650
1474,150050
1475,116500
1476,392350
1477,256250
1478,303200
1479,282450
1480,462400
1481,329750
1482,219350
1483,175550
1484,169000
1485,188900
1486,203000
1487,328350
1488,241400
1489,198500
1490,222300
1491,195800
1492,106550
1493,190250
1494,301000
1495,289650
1496,235350
1497,179150
1498,162100
1499,162050
1500,160200
1501,187400
1502,154300
1503,297900
1504,239600
1505,220650
1506,191500
1507,243700
1508,206250
1509,166350
1510,147000
1511,145050
1512,159750
1513,159050
1514,154300
1515,201600
1516,163600
1517,165550
1518,124300
1519,206300
1520,128450
1521,128050
1522,178550
1523,111550
1524,129400
1525,119150
1526,123650
1527,112050
1528,139650
1529,145300
1530,188450
1531,138700
1532,110600
1533,146800
1534,122150
1535,139600
1536,109600
1537,54450
1538,173650
1539,223500
1540,125200
1541,154650
1542,139550
1543,188250
1544,83550
1545,123500
1546,138850
1547,132950
1548,145650
1549,126200
1550,137900
1551,124700
1552,138250
1553,145950
1554,114700
1555,174450
1556,112400
1557,120550
1558,104550
1559,109350
1560,136950
1561,138100
1562,125900
1563,124300
1564,149650
1565,151900
1566,238300
1567,84750
1568,233300
1569,136150
1570,142300
1571,115350
1572,140350
1573,233800
1574,128550
1575,224100
1576,241950
1577,195500
1578,165600
1579,141950
1580,189500
1581,144650
1582,131900
1583,296950
1584,231650
1585,142500
1586,56750
1587,104500
1588,146950
1589,98400
1590,135700
1591,90550
1592,134650
1593,128150
1594,144550
1595,124400
1596,215550
1597,196800
1598,201300
1599,190600
1600,182000
1601,55000
1602,119450
1603,83650
1604,273850
1605,244900
1606,167150
1607,168900
1608,214000
1609,189600
1610,155500
1611,150450
1612,169650
1613,168450
1614,122600
1615,88900
1616,73150
1617,82000
1618,121800
1619,140550
1620,171750
1621,132850
1622,148450
1623,267050
1624,199250
1625,124550
1626,173400
1627,183700
1628,276450
1629,181600
1630,332950
1631,220650
1632,228800
1633,178050
1634,191900
1635,180050
1636,153000
1637,177300
1638,200550
1639,182100
1640,235750
1641,181100
1642,232600
1643,217850
1644,226850
1645,185450
1646,159850
1647,166650
1648,140400
1649,136650
1650,124100
1651,119350
1652,102950
1653,105100
1654,146900
1655,149300
1656,144300
1657,151750
1658,148800
1659,129200
1660,153750
1661,428650
1662,398550
1663,364700
1664,458800
1665,311200
1666,316900
1667,355950
1668,327450
1669,309550
1670,341750
1671,267100
1672,438200
1673,304150
1674,262100
1675,201650
1676,210300
1677,210900
1678,426850
1679,376450
1680,338150
1681,275150
1682,305600
1683,196250
1684,177550
1685,177650
1686,173500
1687,172450
1688,195950
1689,196100
1690,195300
1691,184800
1692,264950
1693,177850
1694,184850
1695,174750
1696,265200
1697,183750
1698,342250
1699,324650
1700,262100
1701,274800
1702,241200
1703,241050
1704,277300
1705,239600
1706,413800
1707,220500
1708,202950
1709,270900
1710,230850
1711,274350
1712,243200
1713,252500
1714,216950
1715,202750
1716,186050
1717,171850
1718,144050
1719,215500
1720,254150
1721,162050
1722,124650
1723,153550
1724,216200
1725,232400
1726,190900
1727,164250
1728,179700
1729,169650
1730,176350
1731,123150
1732,130200
1733,116500
1734,124300
1735,125750
1736,100650
1737,333450
1738,241750
1739,265850
1740,214600
1741,199650
1742,175750
1743,176800
1744,307500
1745,227400
1746,242650
1747,218750
1748,221450
1749,143150
1750,142900
1751,230150
1752,118100
1753,152600
1754,196300
1755,166950
1756,137250
1757,115450
1758,151700
1759,174050
1760,160500
1761,159500
1762,168700
1763,177900
1764,118200
1765,170500
1766,172350
1767,201100
1768,140000
1769,188950
1770,154600
1771,128800
1772,133600
1773,131500
1774,143150
1775,145650
1776,125050
1777,116850
1778,136850
1779,122300
1780,170700
1781,130850
1782,82400
1783,149750
1784,100200
1785,120650
1786,159300
1787,171850
1788,50750
1789,94900
1790,72650
1791,190700
1792,156700
1793,141650
1794,158550
1795,139500
1796,141150
1797,127350
1798,123150
1799,114750
1800,125600
1801,122200
1802,137500
1803,161400
1804,134000
1805,139700
1806,121600
1807,142850
1808,114800
1809,129100
1810,133700
1811,98900
1812,113600
1813,121850
1814,93600
1815,46250
1816,99700
1817,119350
